category,pattern,label,grams
# Standaardporties per NEVO-voedingsmiddelgroep. Eerste match wint; een lege
# pattern is de fallback voor de hele groep. Exacte porties per product staan in
# portions.csv en gaan hier altijd overheen.
Aardappelen en knolgewassen,frites|fritessticks,1 portie,150
Aardappelen en knolgewassen,puree,1 opscheplepel,150
Aardappelen en knolgewassen,krokket|kroketten|rosti|schijfjes|partjes|bolletjes|wafeltjes|rondjes|gnocchi,1 stuk,50
Aardappelen en knolgewassen,,1 portie,150
Alcoholische dranken,bier|shandy|cider|breezer,1 glas,250
Alcoholische dranken,wijn|port|sherry|vermouth|madeira|muskaat,1 glas,100
Alcoholische dranken,jenever|likeur|whisky|rum|wodka|cognac|brandewijn|vieux|campari|bitter|advocaat|irish,1 glaasje,35
Alcoholische dranken,,1 glas,100
Brood,cracker|toast|soepstengel,1 stuk,7
Brood,croutons,1 portie,15
Brood,beschuit,1 stuk,10
Brood,knackebrod,1 stuk,12
Brood,wafel,1 stuk,8
Brood,croissant|brioche|stol|focaccia,1 stuk,50
Brood,broodje|bol |bol$|ciabatta|pita|stokbrood,1 stuk,60
Brood,,1 snee,35
Diversen,cacaopoeder|cacaoproduct,1 eetlepel,5
Diversen,spijs,1 portie,25
Diversen,,1 theelepel,5
Eieren,eidooier,1 stuk,17
Eieren,eiwit,1 stuk,33
Eieren,eipoeder,1 eetlepel,10
Eieren,,1 ei,50
Flesvoeding en preparaten,maaltijdvervanger|sportvoeding,1 portie,100
Flesvoeding en preparaten,,1 fles,150
Fruit,appelmoes|moes,1 schaaltje,100
Fruit,gedroogd|rozijnen|dadels|vijgen|tuttifrutti|studentenhaver,1 handje,25
Fruit,olijven,1 portie,20
Fruit,bessen|frambozen|bramen|aardbeien|kersen|druiven|cranberry,1 schaaltje,100
Fruit,banaan,1 stuk,120
Fruit,appel,1 stuk,130
Fruit,peer|peren,1 stuk,150
Fruit,kiwi,1 stuk,75
Fruit,meloen|ananas|mango|papaja,1 portie,150
Fruit,perzik|pruimen|abrikozen|nectarine,1 stuk,80
Fruit,mandarijn|citroen|grapefruit|sinaasappel,1 stuk,130
Fruit,babyvoeding,1 potje,125
